epoch,global_step,train_loss,val_loss,val_r2,best_val_loss,best_epoch,patience_used,patience_limit
1,1250,0.32700007763206956,0.13890546560287476,0.8510988354682922,0.13890546560287476,1,0,8
2,2500,0.12520332619249822,0.09657932072877884,0.8964707851409912,0.09657932072877884,2,0,8
3,3750,0.08699890034347772,0.08936581760644913,0.9042034149169922,0.08936581760644913,3,0,8
4,5000,0.07207281533479691,0.06497735530138016,0.9303468465805054,0.06497735530138016,4,0,8
5,6250,0.0621028632208705,0.0682888850569725,0.9267970323562622,0.06497735530138016,4,1,8
6,7500,0.05136584945246577,0.056554991751909256,0.9393752813339233,0.056554991751909256,6,0,8
7,8750,0.049132505260407924,0.06168614327907562,0.9338749051094055,0.056554991751909256,6,1,8
8,10000,0.043212208750844,0.04061397165060043,0.9564634561538696,0.04061397165060043,8,0,8
9,11250,0.04099684166535735,0.04135698825120926,0.9556669592857361,0.04061397165060043,8,1,8
10,12500,0.03963823632374406,0.05486597865819931,0.9411858320236206,0.04061397165060043,8,2,8
11,13750,0.03607645972594619,0.047493334859609604,0.9490890502929688,0.04061397165060043,8,3,8
12,15000,0.03735621677003801,0.04014027491211891,0.9569712281227112,0.04014027491211891,12,0,8
13,16250,0.03415337819233537,0.041441380977630615,0.955576479434967,0.04014027491211891,12,1,8
14,17500,0.03238337090611458,0.03461272642016411,0.9628965258598328,0.03461272642016411,14,0,8
15,18750,0.03168511971235275,0.046705055981874466,0.9499340057373047,0.03461272642016411,14,1,8
16,20000,0.0324878314986825,0.04096629098057747,0.956085741519928,0.03461272642016411,14,2,8
17,21250,0.028781964313611387,0.03918524459004402,0.9579949975013733,0.03461272642016411,14,3,8
18,22500,0.027929771514981987,0.03443242236971855,0.9630898237228394,0.03443242236971855,18,0,8
19,23750,0.028301315350830556,0.033766090869903564,0.9638040661811829,0.033766090869903564,19,0,8
20,25000,0.025894878105074168,0.03427649661898613,0.9632569551467896,0.033766090869903564,19,1,8
21,26250,0.025563720602542164,0.04074890539050102,0.9563187956809998,0.033766090869903564,19,2,8
22,27500,0.025622438183426858,0.03489562124013901,0.9625932574272156,0.033766090869903564,19,3,8
23,28750,0.02432970553599298,0.031201928853988647,0.9665527939796448,0.031201928853988647,23,0,8
24,30000,0.02557260232642293,0.03617452457547188,0.9612223505973816,0.031201928853988647,23,1,8
25,31250,0.02284743338599801,0.02955670654773712,0.968316376209259,0.02955670654773712,25,0,8
26,32500,0.023002805395051836,0.02946755290031433,0.968411922454834,0.02946755290031433,26,0,8
27,33750,0.023224053712561726,0.031002026051282883,0.9667670726776123,0.02946755290031433,26,1,8
28,35000,0.023311873073875906,0.03633168339729309,0.9610538482666016,0.02946755290031433,26,2,8
29,36250,0.020233424186334014,0.036192987114191055,0.9612025618553162,0.02946755290031433,26,3,8
30,37500,0.02187629329189658,0.03926541283726692,0.9579090476036072,0.02946755290031433,26,4,8
31,38750,0.02199692233838141,0.02937261573970318,0.9685137271881104,0.02937261573970318,31,0,8
32,40000,0.021921356428042053,0.03749346360564232,0.9598084688186646,0.02937261573970318,31,1,8
33,41250,0.020332058603689074,0.02914210967719555,0.9687607884407043,0.02914210967719555,33,0,8
34,42500,0.019390805244073273,0.030156439170241356,0.9676734805107117,0.02914210967719555,33,1,8
35,43750,0.021021175696328283,0.030299801379442215,0.9675198197364807,0.02914210967719555,33,2,8
36,45000,0.01895427788719535,0.035651795566082,0.961782693862915,0.02914210967719555,33,3,8
37,46250,0.019679763174429536,0.02875468134880066,0.9691761136054993,0.02875468134880066,37,0,8
38,47500,0.020486836040765045,0.03210540860891342,0.9655842781066895,0.02875468134880066,37,1,8
39,48750,0.017632343565672635,0.026739398017525673,0.9713364243507385,0.026739398017525673,39,0,8
40,50000,0.017754305795952677,0.03244096785783768,0.96522456407547,0.026739398017525673,39,1,8
41,51250,0.020011237087100744,0.03194134682416916,0.9657601118087769,0.026739398017525673,39,2,8
42,52500,0.017606862223893405,0.027509471401572227,0.9705109596252441,0.026739398017525673,39,3,8
43,53750,0.017285522439330816,0.027455635368824005,0.9705686569213867,0.026739398017525673,39,4,8
44,55000,0.017129874810948967,0.02642553672194481,0.9716728925704956,0.02642553672194481,44,0,8
45,56250,0.019051560604572297,0.02536352165043354,0.9728112816810608,0.02536352165043354,45,0,8
46,57500,0.016581383714452384,0.025808406993746758,0.9723343849182129,0.02536352165043354,45,1,8
47,58750,0.01783523105457425,0.027886340394616127,0.9701069593429565,0.02536352165043354,45,2,8
48,60000,0.017886692626774312,0.026406798511743546,0.9716929793357849,0.02536352165043354,45,3,8
49,61250,0.016112325716018675,0.028267987072467804,0.9696978330612183,0.02536352165043354,45,4,8
50,62500,0.016023205940052868,0.02885427139699459,0.9690693616867065,0.02536352165043354,45,5,8
